,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
9310,💯. T Snell don’t miss👌🏽🤷🏽‍♂️ https://t.co/etWkYQTPu7,Trae Young,2021-03-04,3.0,0.0,1.0,4.0,L,3.0,[],💯 . snell nt miss 👌 🤷 ♂ ️ ,💯 . snell dont miss👌🏽🤷🏽♂️ ,💯 . snell not miss 👌 🤷 ♂ ️ 
9311,See ya after the break😈 Good Team W! #WeMove https://t.co/gFV0B0CGbT,Trae Young,2021-03-04,3.0,0.0,5.0,0.0,L,0.6,['WeMove'],see ya break 😈 good team w ! wemove ,see ya break😈 good team w ! wemov ,see ya break 😈 good team w ! wemove 
9312,"Drake just be talking to us for real.  
Hov level🐐🐐 &amp; Rick Ross top 10🔥🔥",Trae Young,2021-03-05,3.0,0.0,9.0,3.0,L,0.3333333333333333,[],drake talking us real . hov level 🐐 🐐 rick ross top 🔥 🔥 ,drake talk us real . hov level🐐🐐 rick ross top 🔥🔥 ,drake talk we real . hov level 🐐 🐐 rick ross top 🔥 🔥 
9313,"Another Day, Another Opportunity💯",Trae Young,2021-03-05,3.0,0.0,1.0,5.0,L,3.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9314,They went crazy. !!🔥 https://t.co/fkR7D6CRnp,Trae Young,2021-03-05,3.0,0.0,7.0,2.0,L,0.4285714285714285,[],went crazy . ! ! 🔥 ,went crazi . ! ! 🔥 ,go crazy . ! ! 🔥 
9315,Tuned in.. Boomer Sooner!! ☝🏽,Trae Young,2021-03-05,3.0,0.0,0.0,6.0,L,0.0,[],tuned .. boomer sooner ! ! ☝ ,tune .. boomer sooner ! ! ☝🏽 ,tune .. boomer soon ! ! ☝ 
9316,When the “Young” fella ain’t young anymore🤣 https://t.co/YSDTjZP5Wa,Trae Young,2021-03-06,3.0,0.0,2.0,0.0,L,1.5,[],young fella ai nt young anymore 🤣 ,young fella aint young anymore🤣 ,young fella be not young anymore 🤣 
9317,"Another Day, Another Opportunity💯",Trae Young,2021-03-06,3.0,1.0,3.0,0.0,L,1.1666666666666667,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9318,Twitter is the Funniest app🤣🤣🤣🤣,Trae Young,2021-03-07,3.0,1.0,3.0,7.0,L,1.1666666666666667,[],twitter funniest app 🤣 🤣 🤣 🤣 ,twitter funniest app🤣🤣🤣🤣 ,twitter funniest app 🤣 🤣 🤣 🤣 
9319,"Another Day, Another Opportunity💯",Trae Young,2021-03-07,3.0,0.0,1.0,3.0,L,3.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9320,PROGRESS🙏🏽🙏🏽🙏🏽 Stage 2 !! #JusticeForJulius https://t.co/zD2b7trLfD,Trae Young,2021-03-08,3.0,0.0,8.0,1.0,W,0.375,['JusticeForJulius'],progress 🙏 🙏 🙏 stage ! ! justiceforjulius ,progress🙏🏽🙏🏽🙏🏽 stage ! ! justiceforjulius ,progress 🙏 🙏 🙏 stage ! ! justiceforjulius 
9321,"Another Day, Another Opportunity💯",Trae Young,2021-03-08,3.0,0.0,3.0,6.0,W,1.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9322,This 🎯 practice Steph🤣🤣 @StephenCurry30,Trae Young,2021-03-08,3.0,0.0,9.0,4.0,W,0.3333333333333333,[],🎯 practice steph 🤣 🤣 ,🎯 practic steph🤣🤣 ,🎯 practice steph 🤣 🤣 
