,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
2784,"If you have family with #Lupus, @LupusCanada’s e-newsletter provides important #Lupus health information, research updates &amp; personal stories. Sign up for your copy of @LupusCanada’s e-newsletter today here: https://t.co/zxquK3LBMP #LupusCanada #LetsTalkLupus https://t.co/ztRkRJOBx0",DeMar DeRozan,2019-07-24,3.0,0.0,3.0,3.0,L,1.0,"['Lupus', 'Lupus', 'LupusCanada', 'LetsTalkLupus']",family lupus enewsletter provides important lupus health information research updates personal stories . sign copy enewsletter today : lupuscanada letstalklupus ,famili lupus enewslett provid import lupus health inform research updat person stori . sign copi enewslett today : lupuscanada letstalklupus ,family lupus enewsletter provide important lupus health information research update personal story . sign copy enewsletter today : lupuscanada letstalklupus 
2785,"If you have family and friends living with #Lupus, @LupusCanada’s e-newsletter provides important #Lupus health information, research updates &amp; personal stories. Sign up for your copy of today https://t.co/zxquK3LBMP #LupusCanada #LetsTalkLupus https://t.co/MFpNQglJXq",DeMar DeRozan,2019-08-07,3.0,0.0,3.0,4.0,L,1.0,"['Lupus', 'Lupus', 'LupusCanada', 'LetsTalkLupus']",family friends living lupus enewsletter provides important lupus health information research updates personal stories . sign copy today lupuscanada letstalklupus ,famili friend live lupus enewslett provid import lupus health inform research updat person stori . sign copi today lupuscanada letstalklupus ,family friend live lupus enewsletter provide important lupus health information research update personal story . sign copy today lupuscanada letstalklupus 
2786,"If you bleed cardinal and gold, lace up your running shoes and pledge for #USC at the #WeRunTheCity, a rivalry run on 8/17 that puts you in the middle of the #USCvUCLA rivalry. Register at https://t.co/pZS0nw4tYy.",DeMar DeRozan,2019-08-13,3.0,1.0,1.0,6.0,W,3.5,"['USC', 'WeRunTheCity', 'USCvUCLA']",bleed cardinal gold lace running shoes pledge usc werunthecity rivalry run puts middle uscvucla rivalry . register ,bleed cardin gold lace run shoe pledg usc werunthec rivalri run put middl uscvucla rivalri . regist ,bleed cardinal gold lace running shoe pledge usc werunthecity rivalry run put middle uscvucla rivalry . register 
2787,Life a trip...,DeMar DeRozan,2019-08-25,3.0,0.0,3.0,5.0,L,1.0,[],life trip ... ,life trip ... ,life trip ... 
2788,"I know this cash don’t make me, I know this fame don’t make me. You know this game get crazy, I know this pain won’t break me-@NipseyHussle",DeMar DeRozan,2019-09-14,3.0,0.0,2.0,0.0,W,1.5,[],know cash nt make know fame nt make . know game get crazy know pain wo nt break ,know cash dont make know fame dont make . know game get crazi know pain wont break ,know cash not make know fame not make . know game get crazy know pain will not break 
2789,"🇨🇦 fans... Help @LupusCanada reach their goal of 500 letters! @LupusCanada is seeking to make changes to the National Employment Insurance Sickness Benefits &amp; the CPP-D Benefits. Share with your family, friends, colleagues. To learn more visit https://t.co/WkVubyHSf4 https://t.co/OCk0XFZArs",DeMar DeRozan,2019-10-03,3.0,1.0,2.0,6.0,W,1.75,[],🇨 🇦 fans ... help reach goal letters ! seeking make changes national employment insurance sickness benefits cppd benefits . share family friends colleagues . learn visit ,🇨🇦 fan ... help reach goal letter ! seek make chang nation employ insur sick benefit cppd benefit . share famili friend colleagu . learn visit ,🇨 🇦 fan ... help reach goal letter ! seek make change national employment insurance sickness benefit cppd benefit . share family friend colleague . learn visit 
2790,Today is #WorldMentalHealthDay. There should be zero shame or stigma for anyone working to make their mental health a priority. Shoutout to my bro @kevinlove for the work he’s doing with @kevinlovefund. Support @kevinlovefund here: https://t.co/ysnOpGBF2x https://t.co/r1ye013BAY,DeMar DeRozan,2019-10-10,3.0,0.0,5.0,6.0,W,0.6,['WorldMentalHealthDay'],today worldmentalhealthday . zero shame stigma anyone working make mental health priority . shoutout bro work . support : ,today worldmentalhealthday . zero shame stigma anyon work make mental health prioriti . shoutout bro work hes . support : ,today worldmentalhealthday . zero shame stigma anyone work make mental health priority . shoutout bro work . support : 
2791,Favorite kobe retro you’ll want to see re released?,DeMar DeRozan,2019-10-11,3.0,0.0,3.0,4.0,W,1.0,[],favorite kobe retro want see released ? ,favorit kobe retro youll want see releas ? ,favorite kobe retro want see release ? 
2792,"My Drew Aid #KobeIV PEs from last night are a tribute to my summers spent hoopin and hanging out watching games at the @DrewLeague. If you’ve had Drew Aid before, you get why I had to do it! #KicksOnCourt #NBAKicks #TheDrew #Comp10 https://t.co/hKVzVYRFcn",DeMar DeRozan,2019-10-24,3.0,0.0,6.0,0.0,L,0.5,"['KobeIV', 'KicksOnCourt', 'NBAKicks', 'TheDrew', 'Comp10']",drew aid kobeiv pes last night tribute summers spent hoopin hanging watching games . drew aid get ! kicksoncourt nbakicks thedrew comp ,drew aid kobeiv pes last night tribut summer spent hoopin hang watch game . youv drew aid get ! kicksoncourt nbakick thedrew comp ,draw aid kobeiv pe last night tribute summer spend hoopin hang watch game . draw aid get ! kicksoncourt nbakick thedrew comp 
2793,Wednesday night I had the honor of speaking to a group of local students about mental health and my experiences fighting depression. I just want to do my part to make sure there is zero shame or stigma for anyone working to make their mental health a priority. 🙏🏾 @spurs https://t.co/yHlauwl1yD,DeMar DeRozan,2019-11-29,7.0,1.0,16.0,15.0,W ,0.46875,[],wednesday night honor speaking group local students mental health experiences fighting depression . want part make sure zero shame stigma anyone working make mental health priority . 🙏 🏾 ,wednesday night honor speak group local student mental health experi fight depress . want part make sure zero shame stigma anyon work make mental health prioriti . 🙏🏾 ,wednesday night honor speak group local student mental health experience fight depression . want part make sure zero shame stigma anyone work make mental health priority . 🙏 🏾 
2794,"Lou Will a All Star, no question!",DeMar DeRozan,2020-01-18,3.0,0.0,0.0,1.0,L,0.0,[],lou star question ! ,lou star question ! ,lou star question ! 
2795,Don’t fold the game test you...,DeMar DeRozan,2020-02-14,3.0,0.0,4.0,6.0,L,0.75,[],nt fold game test ... ,dont fold game test ... ,not fold game test ... 
2796,Upmost respect to Ben Gordon! Must read https://t.co/P1D0J0JDHh,DeMar DeRozan,2020-02-22,3.0,1.0,7.0,0.0,L,0.5,[],upmost respect ben gordon ! must read ,upmost respect ben gordon ! must read ,upmost respect ben gordon ! must read 
2797,Who comes up with this shit?,DeMar DeRozan,2020-03-14,3.0,0.0,0.0,5.0,L,0.0,[],comes shit ? ,come shit ? ,come shit ? 
2798,I’ll be on IG Live with @Dame_Lillard judging the MCs involved in today’s cypher. https://t.co/gP5K5zL37E,DeMar DeRozan,2020-04-17,3.0,1.0,4.0,0.0,W,0.875,[],ill ig live judging mcs involved todays cypher . ,ill ig live judg mcs involv today cypher . ,ill ig live judge mcs involve today cypher . 
2799,Sports will be appreciated at a all time high after this &amp; played at a even higher level!,DeMar DeRozan,2020-05-04,3.0,1.0,9.0,6.0,L,0.3888888888888889,[],sports appreciated time high played even higher level ! ,sport appreci time high play even higher level ! ,sport appreciate time high play even high level ! 
2800,Can’t do nothing but love Jordan even more after this!,DeMar DeRozan,2020-05-11,3.0,1.0,8.0,0.0,L,0.4375,[],ca nt nothing love jordan even ! ,cant noth love jordan even ! ,can not nothing love jordan even ! 
2801,MJ swag was one of a kind!,DeMar DeRozan,2020-05-11,3.0,0.0,1.0,0.0,L,3.0,[],mj swag one kind ! ,mj swag one kind ! ,mj swag one kind ! 
2802,An eerie feeling in the Air!,DeMar DeRozan,2020-05-30,3.0,0.0,7.0,4.0,W,0.4285714285714285,[],eerie feeling air ! ,eeri feel air ! ,eerie feeling air ! 
2803,The Spook Who Sat By The Door.,DeMar DeRozan,2020-06-19,3.0,1.0,5.0,0.0,L,0.7,[],spook sat door . ,spook sat door . ,spook sit door . 
2804,All it takes is a jar and some spare change to help make a difference in the lives of those living with #lupus like my Mom! Help @LupusCanada by supporting their #LooniesForLupus campaign through August 28th. 🙏🏾 https://t.co/GoMj67howD https://t.co/CaoKz9DAid,DeMar DeRozan,2020-07-15,3.0,1.0,2.0,5.0,L,1.75,"['lupus', 'LooniesForLupus']",takes jar spare change help make difference lives living lupus like mom ! help supporting looniesforlupus campaign august th . 🙏 🏾 ,take jar spare chang help make differ live live lupus like mom ! help support looniesforlupus campaign august th . 🙏🏾 ,take jar spare change help make difference life live lupus like mom ! help support looniesforlupus campaign august th . 🙏 🏾 
2805,Welcome back @WNBA! #OrangeHoodie https://t.co/qrkuLgvYhC,DeMar DeRozan,2020-07-26,3.0,0.0,8.0,6.0,W,0.375,['OrangeHoodie'],welcome back ! orangehoodie ,welcom back ! orangehoodi ,welcome back ! orangehoodie 
2806,"You Can’t Stop Sport. Because You Can’t Stop Us.
#YouCantStopUS @nike https://t.co/rsOgqCUsX6",DeMar DeRozan,2020-07-30,3.0,0.0,1.0,0.0,W,3.0,['YouCantStopUS'],ca nt stop sport . ca nt stop us . youcantstopus ,cant stop sport . cant stop us . youcantstopus ,can not stop sport . can not stop we . youcantstopus 
2807,"S/o to the disbelievers, appreciate you for doubting me...",DeMar DeRozan,2020-08-22,3.0,0.0,4.0,5.0,W,0.75,[],disbelievers appreciate doubting ... ,disbeliev appreci doubt ... ,disbeliever appreciate doubt ... 
2808,This shit bigger than basketball! Whoever don’t understand that is part of the problem.,DeMar DeRozan,2020-08-26,3.0,1.0,9.0,5.0,L,0.3888888888888889,[],shit bigger basketball ! whoever nt understand part problem . ,shit bigger basketbal ! whoever dont understand part problem . ,shit big basketball ! whoever not understand part problem . 
2809,Respect @bucks!!!!,DeMar DeRozan,2020-08-26,3.0,0.0,2.0,4.0,L,1.5,[],respect ! ! ! ! ,respect ! ! ! ! ,respect ! ! ! ! 
2810,S/o to @dak! Real strength is shown through vulnerability. Ppl like Skip are the reason why people suffer from depression at such a high rate! You’re the definition of a punk. Depression is REAL LIFE!,DeMar DeRozan,2020-09-11,3.0,0.0,6.0,1.0,L,0.5,[],! real strength shown vulnerability . ppl like skip reason people suffer depression high rate ! definition punk . depression real life ! ,! real strength shown vulner . ppl like skip reason peopl suffer depress high rate ! your definit punk . depress real life ! ,! real strength show vulnerability . ppl like skip reason people suffer depression high rate ! definition punk . depression real life ! 
2811,"Before you run your race you gotta find a pace
Just make sure you cross the line and fuck the time it takes...",DeMar DeRozan,2020-10-16,3.0,0.0,5.0,1.0,W,0.6,[],run race got ta find pace make sure cross line fuck time takes ... ,run race got ta find pace make sure cross line fuck time take ... ,run race got to find pace make sure cross line fuck time take ... 
2812,Excited to be a part of an honest conversation around mental health in sports during today’s #espnWsummit. The event is free...register at https://t.co/8M1wTteRkb https://t.co/kptiw2N1yx,DeMar DeRozan,2020-10-20,3.0,0.0,4.0,0.0,L,0.75,['espnWsummit'],excited part honest conversation around mental health sports todays espnwsummit . event free ... register ,excit part honest convers around mental health sport today espnwsummit . event free ... regist ,excited part honest conversation around mental health sport today espnwsummit . event free ... register 
2813,"Some days can be hard for my mom, but her positive attitude and support from her family can really make a difference...especially during these unprecedented times. To learn more about navigating lupus and important information about COVID visit https://t.co/Z2FU9kfbQd https://t.co/3Fe92V2wJ3",DeMar DeRozan,2020-10-21,3.0,0.0,9.0,1.0,L,0.3333333333333333,[],days hard mom positive attitude support family really make difference ... especially unprecedented times . learn navigating lupus important information covid visit ,day hard mom posit attitud support famili realli make differ ... especi unpreced time . learn navig lupus import inform covid visit ,day hard mom positive attitude support family really make difference ... especially unprecedented time . learn navigate lupus important information covid visit 
2814,Tank Davis!!!!,DeMar DeRozan,2020-11-01,3.0,1.0,4.0,0.0,L,0.875,[],tank davis ! ! ! ! ,tank davi ! ! ! ! ,tank davis ! ! ! ! 
2815,How did I master footwork? Lots of hours in the gym. Join @proclass_tv to get coached by me and some of the best pros in the game today. https://t.co/uPjTCukivF https://t.co/rjz62eRtML,DeMar DeRozan,2021-01-02,3.0,0.0,3.0,2.0,L,1.0,[],master footwork ? lots hours gym . join get coached best pros game today . ,master footwork ? lot hour gym . join get coach best pros game today . ,master footwork ? lot hour gym . join get coach good pro game today . 
2816,Congrats to my brotha Freddy V! Kyle old ass couldn’t do it. Glad you did champ! Been telling you!,DeMar DeRozan,2021-02-03,10.0,0.0,19.0,30.0,W ,0.5263157894736842,[],congrats brotha freddy v ! kyle old ass could nt . glad champ ! telling ! ,congrat brotha freddi v ! kyle old ass couldnt . glad champ ! tell ! ,congrat brotha freddy v ! kyle old ass could not . glad champ ! tell ! 
2817,Can’t help but think how fake it is...,DeMar DeRozan,2021-02-24,3.0,1.0,5.0,1.0,W,0.7,[],ca nt help think fake ... ,cant help think fake ... ,can not help think fake ... 
2818,Gets to a point where you just gotta laugh at the bullshit!!,DeMar DeRozan,2021-03-06,3.0,0.0,3.0,5.0,L,1.0,[],gets point got ta laugh bullshit ! ! ,get point got ta laugh bullshit ! ! ,get point got to laugh bullshit ! ! 
2819,A tribute to the city that made us. #Comp10 https://t.co/RZBWADT94o https://t.co/NvXTvvdQVG,DeMar DeRozan,2021-05-04,3.0,0.0,5.0,4.0,W,0.6,['Comp10'],tribute city made us . comp ,tribut citi made us . comp ,tribute city make we . comp 
2820,Proud to be a part of #TheMeYouCantSee. Launching on @AppleTV on May 21st. Perfect series to cap off Mental Health Awareness Month. https://t.co/RA7tVQcVzE,DeMar DeRozan,2021-05-17,3.0,1.0,6.0,3.0,W,0.5833333333333334,['TheMeYouCantSee'],proud part themeyoucantsee . launching may st . perfect series cap mental health awareness month . ,proud part themeyoucantse . launch may st. perfect seri cap mental health awar month . ,proud part themeyoucantsee . launch may st . perfect series cap mental health awareness month . 
2821,Book Cold!!!!,DeMar DeRozan,2021-06-20,3.0,0.0,4.0,1.0,W,0.75,[],book cold ! ! ! ! ,book cold ! ! ! ! ,book cold ! ! ! ! 
2822,Kevin!!!😤,DeMar DeRozan,2021-06-20,3.0,0.0,3.0,6.0,W,1.0,[],kevin ! ! ! 😤 ,kevin ! ! ! 😤 ,kevin ! ! ! 😤 
2823,Tank!!!,DeMar DeRozan,2021-06-27,3.0,0.0,0.0,7.0,W,0.0,[],tank ! ! ! ,tank ! ! ! ,tank ! ! ! 
2824,I want to take the time to thank the Spurs organization and the fans in San Antonio for embracing me the way that they have over the past 3 seasons. The Spurs lived up to their reputation as one of the classiest organizations in the league during my time with the team… https://t.co/o1hyj7TAZe,DeMar DeRozan,2021-08-03,3.0,0.0,9.0,6.0,L,0.3333333333333333,[],want take time thank spurs organization fans san antonio embracing way past seasons . spurs lived reputation one classiest organizations league time team … ,want take time thank spur organ fan san antonio embrac way past season . spur live reput one classiest organ leagu time team… ,want take time thank spur organization fan san antonio embrace way past season . spur live reputation one classy organization league time team … 
2825,Officially signed 😤 #BullsNation @chicagobulls https://t.co/QsGYtxq6AW,DeMar DeRozan,2021-08-11,3.0,0.0,2.0,6.0,L,1.5,['BullsNation'],officially signed 😤 bullsnation ,offici sign 😤 bullsnat ,officially sign 😤 bullsnation 
2826,"Playin @PROBLEM354 and @Dame_Lillard projects today.

Problem: https://t.co/rhmpPSMAwX

#DameDOLLA: https://t.co/x4C4nnLLO6 https://t.co/csYvRDm2h1",DeMar DeRozan,2021-08-20,3.0,0.0,0.0,1.0,W,0.0,['DameDOLLA'],playin projects today . problem : damedolla : ,playin project today . problem : damedolla : ,playin project today . problem : damedolla : 
2827,On tonight with #AgentZero and @KingJosiah54 https://t.co/eDDJlDZJgA,DeMar DeRozan,2021-08-22,3.0,1.0,3.0,4.0,L,1.1666666666666667,['AgentZero'],tonight agentzero ,tonight agentzero ,tonight agentzero 
2828,"Jumped on the ‘The King of Crenshaw’ @30for30 pod with @JustinTinsley to talk about Nipsey 🏁 

🎧 https://t.co/EK7xWIHVp1 https://t.co/LohGwmezAd",DeMar DeRozan,2021-08-23,3.0,0.0,5.0,0.0,W,0.6,[],jumped ‘ king crenshaw pod talk nipsey 🏁 🎧 ,jump ‘ king crenshaw pod talk nipsey 🏁 🎧 ,jump ' king crenshaw pod talk nipsey 🏁 🎧 
2829,"""500 M Liquid"" with @PROBLEM354 https://t.co/wfxuPDgLa0",DeMar DeRozan,2021-08-24,3.0,0.0,1.0,6.0,L,3.0,[],liquid ,liquid ,liquid 
2830,7am on Bridle Path…,DeMar DeRozan,2021-09-03,3.0,1.0,1.0,7.0,L,3.5,[],bridle path … ,bridl path… ,bridle path … 
2831,Hell of a fight!!,DeMar DeRozan,2021-10-10,3.0,1.0,9.0,4.0,L,0.3888888888888889,[],hell fight ! ! ,hell fight ! ! ,hell fight ! ! 
2832,Please join me in supporting @LupusCanada’s #PurplePumpkinForLupus Initiative. Help raise awareness for lupus warriors like my Mom! For more information on this initiative please visit https://t.co/a9G5i2rHdE https://t.co/4MnqU5r2o8,DeMar DeRozan,2021-10-14,3.0,0.0,4.0,5.0,L,0.75,['PurplePumpkinForLupus'],please join supporting purplepumpkinforlupus initiative . help raise awareness lupus warriors like mom ! information initiative please visit ,pleas join support purplepumpkinforlupus initi . help rais awar lupus warrior like mom ! inform initi pleas visit ,please join support purplepumpkinforlupus initiative . help raise awareness lupus warrior like mom ! information initiative please visit 
2833,"Shoutout to my dog @Money23Green for the interview. 

🎥 Full interview https://t.co/shUt467GEv @BleacherReport https://t.co/D8717AwzDr",DeMar DeRozan,2021-10-18,3.0,1.0,1.0,5.0,W,3.5,[],shoutout dog interview . 🎥 full interview ,shoutout dog interview . 🎥 full interview ,shoutout dog interview . 🎥 full interview 
2834,Fight on https://t.co/AEfycF0uPx,DeMar DeRozan,2021-10-19,3.0,1.0,5.0,0.0,L,0.7,[],fight ,fight ,fight 
2835,"If you’ve ever have tried to put a hoop together for your kids, it usually takes hours. 30 mins is game changer @Spalding! https://t.co/WsoCAMphIJ",DeMar DeRozan,2021-10-19,3.0,0.0,8.0,3.0,L,0.375,[],ever tried put hoop together kids usually takes hours . mins game changer ! ,youv ever tri put hoop togeth kid usual take hour . min game changer ! ,ever try put hoop together kid usually take hour . min game changer ! 
2836,"Dads want to maximize our free time with our kids, not be spend all day trying to put together a backyard hoop. Check out the @Spalding Momentous EZ Assembly. You’ll be set up in 30 minutes or less with seven easy steps, without anyone ending up on injured reserve. 🏀 https://t.co/6aq9hvCcPv",DeMar DeRozan,2021-10-22,9.0,0.0,20.0,26.0,W ,0.45,[],dads want maximize free time kids spend day trying put together backyard hoop . check momentous ez assembly . set minutes less seven easy steps without anyone ending injured reserve . 🏀 ,dad want maxim free time kid spend day tri put togeth backyard hoop . check moment ez assembl . youll set minut less seven easi step without anyon end injur reserv . 🏀 ,dad want maximize free time kid spend day try put together backyard hoop . check momentous ez assembly . set minute less seven easy step without anyone end injured reserve . 🏀 
2837,CJ too smooth!!!!,DeMar DeRozan,2021-11-24,6.0,0.0,19.0,17.0,L ,0.3157894736842105,[],cj smooth ! ! ! ! ,cj smooth ! ! ! ! ,cj smooth ! ! ! ! 
2838,"Giving Tuesday is on November 30th. I hope you will join me in participating on this global day by donating $10 a charity close to my heart, @LupusCanada. For more information visit https://t.co/4iqNRV9fRf https://t.co/HkCOX46qee",DeMar DeRozan,2021-11-28,3.0,0.0,7.0,3.0,W,0.4285714285714285,[],giving tuesday november th . hope join participating global day donating $ charity close heart . information visit ,give tuesday novemb th . hope join particip global day donat $ chariti close heart . inform visit ,give tuesday november th . hope join participate global day donate $ charity close heart . information visit 
2839,"Just launched my YouTube channel. 1st episode of my “COMP10 Summer” web series drops tonight. #Comp10 ⛳️ 

🎥 https://t.co/maIO7jEyib https://t.co/Qh4B433ZoZ",DeMar DeRozan,2021-12-04,13.0,1.0,24.0,29.0,W ,0.5625,['Comp10'],launched youtube channel . st episode comp summer web series drops tonight . comp ⛳ ️ 🎥 ,launch youtub channel . st episod comp summer web seri drop tonight . comp ⛳️ 🎥 ,launch youtube channel . st episode comp summer web series drop tonight . comp ⛳ ️ 🎥 
2840,In case you missed it…When should I drop episode 2??? https://t.co/GIxaVqFIj0,DeMar DeRozan,2021-12-06,3.0,1.0,0.0,1.0,L,0.0,[],case missed … drop episode ? ? ? ,case miss it…when drop episod ? ? ? ,case miss … drop episode ? ? ? 
2841,S/o DWill!,DeMar DeRozan,2021-12-19,11.0,0.0,24.0,38.0,W ,0.4583333333333333,[],dwill ! ,dwill ! ,dwill ! 
2842,Out now! https://t.co/uo2pyFF2fc,DeMar DeRozan,2021-12-30,3.0,0.0,8.0,5.0,L,0.375,[],! ,! ,! 
2843,"Episode 2 of #Comp10 Summer drops on my YouTube in the morning 

🎥 https://t.co/awqU4R8ogl https://t.co/aMiX0NWoHP",DeMar DeRozan,2021-12-30,3.0,0.0,5.0,0.0,L,0.6,['Comp10'],episode comp summer drops youtube morning 🎥 ,episod comp summer drop youtub morn 🎥 ,episode comp summer drop youtube morning 🎥 
2844,"Some players take the Uncharted path… but Imma need to talk to this narrator. 😂

@UnchartedMovie, exclusively in movie theaters on February 18th! Get tickets at https://t.co/mtJ6an1jeF 🍿 #ad https://t.co/QjCHpfr7HI",DeMar DeRozan,2022-02-10,3.0,0.0,9.0,0.0,W,0.3333333333333333,['ad'],players take uncharted path … imma need talk narrator . 😂 exclusively movie theaters february th ! get tickets 🍿 ad ,player take unchart path… imma need talk narrat . 😂 exclus movi theater februari th ! get ticket 🍿 ad ,player take uncharted path … imma need talk narrator . 😂 exclusively movie theater february th ! get ticket 🍿 ad 
2845,GAMEDAY.,Devin Booker,2017-10-18,6.0,0.0,17.0,12.0,L ,0.3529411764705882,[],gameday . ,gameday . ,gameday . 
2846,PJ Tucker MVP of that game,Devin Booker,2017-10-18,6.0,0.0,17.0,12.0,L ,0.3529411764705882,[],pj tucker mvp game ,pj tucker mvp game ,pj tucker mvp game 
2847,Not a flagrant,Devin Booker,2017-10-18,6.0,0.0,17.0,12.0,L ,0.3529411764705882,[],flagrant ,flagrant ,flagrant 
2848,Respect https://t.co/GEdkxY6EHv,Devin Booker,2017-10-18,6.0,0.0,17.0,12.0,L ,0.3529411764705882,[],respect ,respect ,respect 
2849,Prayers up @gordonhayward🙏🏼,Devin Booker,2017-10-18,6.0,0.0,17.0,12.0,L ,0.3529411764705882,[],prayers 🙏 🏼 ,prayer 🙏🏼 ,prayer 🙏 🏼 
2850,"I've been blessed with another year with great family &amp; friends. Thank all of you for your prayers, wishes, messages and continued support🙏🏼",Devin Booker,2017-10-30,3.0,0.0,0.0,3.0,L,0.0,[],blessed another year great family friends . thank prayers wishes messages continued support 🙏 🏼 ,ive bless anoth year great famili friend . thank prayer wish messag continu support🙏🏼 ,bless another year great family friend . thank prayer wish message continued support 🙏 🏼 
2851,My brotha🙏🏼 https://t.co/ZiBeklDtBM,Devin Booker,2017-11-01,7.0,3.0,15.0,22.0,W ,0.5666666666666667,[],brotha 🙏 🏼 ,brotha🙏🏼 ,brotha 🙏 🏼 
2852,Tony bucketsssssss!!!!,Devin Booker,2017-11-02,3.0,0.0,5.0,2.0,W,0.6,[],tony bucketsssssss ! ! ! ! ,toni bucketsssssss ! ! ! ! ,tony bucketsssssss ! ! ! ! 
2853,Appreciate that coach https://t.co/Z8xSF7bRKN,Devin Booker,2017-11-07,3.0,0.0,3.0,3.0,L,1.0,[],appreciate coach ,appreci coach ,appreciate coach 
2854,"Had a lot of fun with @draftkings pulling a #trickplay on a few of my most loyal fans. Check it out
https://t.co/8Y4S2jVSTN",Devin Booker,2017-11-10,3.0,0.0,10.0,9.0,L ,0.3,['trickplay'],lot fun pulling trickplay loyal fans . check ,lot fun pull trickplay loyal fan . check ,lot fun pull trickplay loyal fan . check 
2855,We will be ok BBN.. Better than I expected.,Devin Booker,2017-11-15,3.0,0.0,6.0,1.0,L,0.5,[],ok bbn .. better expected . ,ok bbn .. better expect . ,ok bbn .. well expect . 
2856,"Welcome to the family bro @raf_tyler.
#BBN 😼",Devin Booker,2017-11-16,7.0,2.0,16.0,18.0,L ,0.5,['BBN'],welcome family bro . bbn 😼 ,welcom famili bro . bbn 😼 ,welcome family bro . bbn 😼 
2857,That's tough Joel,Devin Booker,2017-11-16,7.0,2.0,16.0,18.0,L ,0.5,[],tough joel ,that tough joel ,tough joel 
2858,Much needed W. On to the next one #SUNSat50 https://t.co/RKs5TybD1l,Devin Booker,2017-11-18,3.0,1.0,9.0,6.0,W,0.3888888888888889,['SUNSat50'],much needed w. next one sunsat ,much need w. next one sunsat ,much need w. next one sunsat 
2859,Great event in our Phoenix community. Thank you @StMarysFoodBank! https://t.co/XzdCZHfTi3,Devin Booker,2017-11-20,3.0,0.0,8.0,4.0,L,0.375,[],great event phoenix community . thank ! ,great event phoenix communiti . thank ! ,great event phoenix community . thank ! 
2860,Tune in! @KristenLedlow hustled me.. smh🤦🏻‍♂️ https://t.co/HozIKSuoc0,Devin Booker,2017-12-09,3.0,0.0,2.0,5.0,W,1.5,[],tune ! hustled .. smh 🤦 🏻 ♂ ️ ,tune ! hustl .. smh🤦🏻♂️ ,tune ! hustle .. smh 🤦 🏻 ♂ ️ 
2861,Always nice running into these beautiful ladies! #GoldenGrannies ❤️ https://t.co/5sHQGLBiY6,Devin Booker,2017-12-09,3.0,0.0,2.0,0.0,W,1.5,['GoldenGrannies'],always nice running beautiful ladies ! goldengrannies ❤ ️ ,alway nice run beauti ladi ! goldengranni ❤️ ,always nice run beautiful lady ! goldengrannie ❤ ️ 
2862,Deal 🏆✊🏼 https://t.co/0N0uph37GK,Devin Booker,2017-12-20,3.0,0.0,8.0,6.0,W,0.375,[],deal 🏆 ✊ 🏼 ,deal 🏆✊🏼 ,deal 🏆 ✊ 🏼 
2863,Okk homeboy!!!🤷🏻‍♂️ https://t.co/9QKcDjTBPd,Devin Booker,2017-12-20,3.0,0.0,5.0,4.0,W,0.6,[],okk homeboy!!! 🤷 🏻 ♂ ️ ,okk homeboy ! ! ! 🤷🏻♂️ ,okk homeboy!!! 🤷 🏻 ♂ ️ 
2864,"Hahah! Just running by this.. you know I can’t keep up with you bro. I have to try the fanny pack next. Also, can’t wait to check out the new #Jumanji. https://t.co/ISNS1xDOUt",Devin Booker,2017-12-20,3.0,0.0,6.0,7.0,W,0.5,['Jumanji'],hahah ! running .. know ca nt keep bro . try fanny pack next . also ca nt wait check new jumanji . ,hahah ! run .. know cant keep bro . tri fanni pack next . also cant wait check new jumanji . ,hahah ! run .. know can not keep bro . try fanny pack next . also can not wait check new jumanji . 
2865,Love bro! https://t.co/si51A3Sb2p,Devin Booker,2017-12-23,3.0,0.0,7.0,0.0,L,0.4285714285714285,[],love bro ! ,love bro ! ,love bro ! 
2866,I can finally cross this off my list.. Appreciate you @JJWatt. I hope recovery is going great. Keep inspiring on and off the field bro!! https://t.co/EBev0U143t,Devin Booker,2017-12-23,3.0,0.0,8.0,6.0,L,0.375,[],finally cross list .. appreciate . hope recovery going great . keep inspiring field bro ! ! ,final cross list .. appreci . hope recoveri go great . keep inspir field bro ! ! ,finally cross list .. appreciate . hope recovery go great . keep inspire field bro ! ! 
2867,Big thank you to @ANewLeafAZ for joining me around holiday time to get some last minute shopping done. Great time filled with wonderful people. https://t.co/582mHj4Tze,Devin Booker,2017-12-23,3.0,0.0,7.0,0.0,L,0.4285714285714285,[],big thank joining around holiday time get last minute shopping done . great time filled wonderful people . ,big thank join around holiday time get last minut shop done . great time fill wonder peopl . ,big thank join around holiday time get last minute shopping do . great time fill wonderful people . 
2868,lol right.. us vs y'all let's get it https://t.co/oK4AhdP89H,Devin Booker,2017-12-26,9.0,3.0,21.0,32.0,W ,0.5,[],lol right .. us vs lets get ,lol right .. us vs yall let get ,lol right .. we vs let get 
2869,I'm bout to get on in a hour https://t.co/zYQZn6MuPN,Devin Booker,2017-12-26,9.0,3.0,21.0,32.0,W ,0.5,[],bout get hour ,im bout get hour ,bout get hour 
2870,We need a Christmas game @NBA 🤷🏻‍♂️,Devin Booker,2017-12-26,9.0,3.0,21.0,32.0,W ,0.5,[],need christmas game 🤷 🏻 ♂ ️ ,need christma game 🤷🏻♂️ ,need christmas game 🤷 🏻 ♂ ️ 
